	ACC	BLEU-1	BLEU-2	BLEU-3	BLEU-4	METEOR
lstm	0.027799811142587345	0.16521272041247298	0.09832537745165795	0.06748071837492552	0.04931882178164981	0.1089790025783305
bert_cls	0.035656279508970726	0.1706840220449662	0.10434136866484045	0.06864705581876528	0.04706449821058125	0.10373584094684014
bert_mask	0.04948064211520302	0.1766570200943943	0.11166292789496816	0.07621004546217762	0.05379837050972204	0.12589191821027562
